Announced or Revised,Agency,Title,Component,Report Number(s),Expected Issue Date (FY),Website_Link,Summary,Office of Evaluation and Inspections
Revised,Other,OIG Reviews of Non-Federal Audits,Office of Audit Services,W-00-19-40005,2022,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000196.asp,"In accordance with the Uniform Administrative Requirements, Cost Principles, and Audit Requirements for HHS awards at 45 CFR Part 75, State, local, and Indian tribal governments; colleges and universities; and nonprofit organizations receiving Federal awards are required to have annual organization-wide audits of all Federal funds that they receive. OIG reviews the audits and reports to ensure they meet applicable standards, identifies any follow-up work needed, and identifies issues that may require management attention. OIG also provides upfront technical assistance to non-Federal auditors to ensure they understand Federal audit requirements and to promote effective audit work. We analyze and record electronically the audit findings reported by non-Federal auditors for use by HHS managers. Our reviews inform HHS managers about the management of Federal programs and identify significant areas of internal control weaknesses, noncompliance with laws and regulations, and questioned costs that require formal resolution by Federal officials. We will continue to review the quality of audits conducted by non-Federal auditors, such as public accounting firms and State auditors, in accordance with the uniform grant guidance.",
Removed,Other,OIG Reimbursable Audits of Non-HHS Funds,Office of Audit Services,W-00-17-50012; various reviews,Not Applicable,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000197.asp,"To ensure a coordinated Federal approach to audits of colleges, universities, and States, Office of Management and Budget establishes audit cognizance, that is, it designates which Federal agency has primary responsibility for audit of all Federal funds that the entity receives. HHS OIG has audit cognizance over all State Governments and most major research colleges and universities that receive Federal funds. We enter into agreements with other Federal audit organizations or other Federal agencies to reimburse us as the cognizant audit organization for audits that we perform of non-HHS funds. We will conduct a series of audits as part of HHS's cognizant agency responsibility under the Uniform Grant Guidance, 2 CFR Part 200 that relates to Audits of States, Local Governments, and Nonprofit Organizations. This Work Plan Item was entered in error and had no planned work associated with it.",
Completed,Other,HHS Compliance with the Federal Information Security Modernization Act of 2014 | Mandatory Review,Office of Audit Services,A-18-17-11200,2018,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000198.asp,"The Federal Information Security Modernization Act (FISMA) and OMB Circular A-130, Managing Information as a Strategic Resource, require that agencies and their contractors maintain programs that provide adequate security for all information collected, processed, transmitted, stored, or disseminated in general support systems and major applications.  FISMA requires the Inspectors General to conduct an annual independent evaluation to determine the effectiveness of the information security program and practices of its agency.  We will review HHSï¿½s and selected HHS operating divisionsï¿½ compliance with FISMA.",
Completed (partial),Other,Penetration Testing of HHS and Operating Division Networks,Office of Audit Services,A-18-17-08200; W-00-17-42000; various reviews,2020,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000199.asp,"Penetration tests are used to identify methods of gaining access to a system by using tools and techniques known to be employed by hackers.  Computer hacker groups are increasingly active in attempts to compromise government systems, release sensitive data to the public, or use such data to commit fraud.  We will conduct network and web application penetration testing to determine HHS's and its operating divisions' network security posture and determine whether these networks and applications are susceptible to hackers.",
Completed (partial),Other,"HHS Government Purchase, Travel, and Integrated Charge Card Programs - Mandatory Review",Office of Audit Services,W-00-19-59041,2020,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000200.asp,"The Government Charge Card Abuse Prevention Act of 2012 (Charge Card Act) requires Inspectors General (IGs) to conduct periodic risk assessments of their agencies' charge card programs to analyze the risks of illegal, improper, or erroneous purchases. The Charge Card Act requires IGs to use the risk assessments to determine the necessary scope, frequency, and number of IG audits or reviews of the charge card programs. It requires Federal agencies to establish and maintain safeguards and internal controls for purchase cards, convenience checks, travel cards, and integrated cards. Office of Management and Budget has instructed IGs to submit annual status reports on purchase and travel card audit recommendations beginning January 31, 2014, for compilation and transmission to Congress and General Accountability Office. We will review HHS's charge card programs (e.g., purchase, travel, or integrated cards) to assess the risks of illegal, improper, or erroneous purchases. HHS's charge card programs enable cardholders to pay for commercial goods, services, and travel expenses.",
Completed,Other,Compliance with the Digital Accountability and Transparency Act (DATA Act) - Mandatory  Review,Office of Audit Services,A-17-17-02018;;  W-00-17-41021,Completed 2017,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000201.asp,"On May 9, 2014, the President signed the Digital Accountability and Transparency Act (DATA Act) of 2014, which mandated the establishment of Government-wide data standards for financial and payment data by May 2015, and agency reporting of consistent, reliable, and searchable financial and payment data by May 2017, to be displayed for taxpayers and policy makers on USASpending.gov. The DATA Act also requires OIG to review a statistically valid sampling of the spending data submitted under this Act by HHS and submit to Congress and make publically available a report assessing the completeness, timeliness, quality, and accuracy of the data sampled and the implementation and use of data standards by HHS. We will use the independent external auditor contracted to audit the annual Centers for Medicare &amp; Medicaid Services and HHS Financial Statement Audits to perform this work.",
Completed,Other Public Health Reviews,HHS Coordination of Roles and Responsibilities for Ebola Response Efforts,Office of Audit Services,A-04-16-03567;  W-00-16-58301,2019,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000202.asp,"Since the first cases of Ebola were reported in West Africa in March 2014, the United States has mounted a Government-wide response to contain and eliminate the epidemic at its source while also taking prudent measures to protect the American people. The HHS effort was launched encompassing many divisions, such as the Centers for Disease Control and Prevention, Office of Assistant Secretary for Preparedness and Response, National Institutes of Health, Food and Drug Administration, Office of Global Affairs, and U.S. Public Health Service Commissioned Corps. We will review the extent to which HHS planned and coordinated strategic decisions related to HHS's Ebola response efforts.  We will also review how HHS's Ebola response activities were planned and coordinated with other U.S. Government agencies. ",
Completed,Other Public Health Reviews,Controls over the Preparation and Receipt of Select Agent Shipments,Office of Audit Services,A-03-16-00354; W-00-16-52000,2019,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000203.asp,"Pursuant to 42 U.S.C. 262a and 7 U.S.C. 8401, select agents and toxins are a subset of biological agents and toxins that HHS and the U.S. Department of Agriculture have determined to have the potential to pose a severe threat to public health and safety, to animal or plant health, or to animal or plant products.  Federal regulations at 42 CFR § 73.16 regulate the transfer of select agents.  We will review National Institutes of Health's and Food and Drug Administration's controls for preparing and receiving select agent shipments.  We will review controls in place at National Institutes of Health and Food and Drug Administration that are designed to ensure that shipments are made and received in accordance with regulations at 42 CFR § 73.11(a) covering written security plans and related supporting laboratory guidance or instruction.",
Nov-16,Other Public Health Reviews,Review of Office for Human Research Protections Compliance Evaluations to Ensure Human Subject Protection | Mandatory Review,Office of Evaluation and Inspections,OEI-01-15-00350; OEI-01-15-00351,2017,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000204.asp,"Section 492 of the Public Health Service Act authorizes the Office of Human Research Protections to establish a compliance oversight process to review violations of HHS regulations protecting human research subjects.  We will determine the extent to which the Office of Human Research Protections independently initiates, conducts, and makes determinations about compliance evaluations.",
Removed,Other Public Health Reviews,Audits of Superstorm Sandy Disaster Relief Act,Office of Audit Services,W-00-16-59052; various reviews,Not Applicable,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000205.asp,"The Disaster Relief Appropriations Act of 2013, P.L. No. 113-2 (Disaster Relief Act), provided funding to HHS for use in aiding Hurricane Sandy disaster victims and their communities.  After sequestration, HHS received $759.5 million in Disaster Relief Act funding.  Of this amount, $733.6 million was allocated to three operating divisions:  ACF, National Institutes of Health, and Substance Abuse and Mental Health Services Administration.  We plan to perform audits of grantees that have received Disaster Relief Act grant funding through one of the above-mentioned HHS operating divisions.  We will review grantees' internal controls related to the oversight of Disaster Relief Act funds.  Additionally, we plan to review the allowability of costs claimed and the appropriateness of costs that were budgeted but not yet expended.",
Completed,Substance Abuse and Mental Health Services Administration,Controls Over Opioid Treatment Programs,Office of Audit Services,A-02-17-02009  W-00-17-59035; A-02-16-02002,2020,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000206.asp,"Substance Abuse and Mental Health Services Administration funds State agencies' opioid treatment programs through its Substance Abuse Prevention and Treatment Block Grant program. Opioid abuse is a compelling public health concern, and in the past OIG has recommended better security protocols to reduce thefts of opioids from hospitals and pharmacies. We will determine whether a State agency is effectively monitoring its opioid treatment programs' services and medications in accordance with the federal guidelines for opioid treatment programs established under 42 CFR Part 8. We will also determine whether program expenditures are allowable in accordance with Federal requirements outlined in 45 CFR Part 75, Uniform Administrative Requirements, Cost Principles, and Audit Requirements for HHS Awards.",
Jun-17,Centers for Medicare & Medicaid Services,Data Brief: Excessive Use of Opioids in Medicare Part D,Office of Evaluation and Inspections,OEI-02-17-00250,2017,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000207.asp,"Opioid abuse and overdose deaths are at epidemic levels in the United States.  In 2015, the number of opioid-related deaths was higher than any previous year, exceeding 33,000 for the first time. Although opioids can be appropriate for some beneficiaries, OIG shares in concerns about opioid misuse, fraud, and abuse in Medicare Part D.  Previous OIG work called attention to increased Part D spending for commonly abused opioids.  OIG has also highlighted the problem of drug diversionï¿½the redirection of prescription drugs for an illegal purpose, such as recreational use or resale.  This data brief builds on OIGï¿½s previous work and includes in-depth analysis of opioid utilization among Medicare Part D beneficiaries.   It provides baseline data on the extent to which beneficiaries are receiving extreme amounts of opioids and appear to be doctor shopping.  It also identifies prescribers who have questionable opioid prescribing patterns.",
Completed,Substance Abuse and Mental Health Services Administration,Access to Buprenorphine-Waivered Providers for the Treatment of Opioid Use Disorder,Office of Evaluation and Inspections,OEI-12-17-00240,2020,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000208.asp,"SAMHSA estimates that 2.5 million people have an opioid use disorder related to prescription pain relievers and/or heroin.  Medication-Assisted Treatment (MAT), including buprenorphine, is a significant component of the treatment protocols for opioid use disorder and plays a large role in combating the opioid epidemic in the United States.  Congress has taken sustained action to support MAT services through broadened prescribing authorities, increased Federal funding, and insurance protections.  However, a treatment gap continues to exist where less than 1 percent of the people in the United States who need treatment for substance use disorder receive it.  OIG will examine access to MAT treatment through SAMHSA's buprenorphine waiver program, which permits providers to prescribe buprenorphine to patients in office settings, rather than traditional opioid treatment facilities.  We will examine the number, location, and patient capacity of providers who have obtained buprenorphine waivers from SAMHSA.  We will also determine the extent to which waivered providers are located in areas with the greatest need for MAT services, the number of patients they report treating with buprenorphine, and the factors that may either facilitate or hinder the provision of buprenorphine in an office setting.",
Completed,Centers for Medicare & Medicaid Services,Including Non-Covered Versions When Setting Payment Amounts for Part B Drugs,Office of Evaluation and Inspections,OEI-12-17-00260,2018,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000209.asp,"With certain exceptions, self-administered drugs are typically not covered under Medicare Part B.  However, preliminary analysis shows that Part B payment amounts for a small number of drugs are being based, in part, on the average sales prices of non-covered, self-administered versions.  We will examine how the Centers for Medicare &amp; Medicaid Services determines which versions of drugs are included in Part B payment amount calculations, and the cost to Medicare and its beneficiaries of including non-covered, self-administered versions when calculating Part B payment amounts.",
Completed,Centers for Medicare & Medicaid Services,Followup: CMS's Management of the Quality Payment Program,Office of Evaluation and Inspections,OEI-12-17-00350,2018,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000210.asp,"We will assess the Centers for Medicare &amp; Medicaid Services's (CMS's) progress in addressing key challenges to implementing the Quality Payment Program (QPP), a new initiative intended to shift Medicare from a volume-based payment system to one that rewards value. In December 2016, OIG found that two aspects of QPP implementation require particular focus: 1) providing sufficient guidance and technical assistance to ensure that clinicians are ready to participate in the QPP, and 2) developing backend information technology (IT) systems to support key QPP functions, such as data reporting and validation. If these issues are not fully addressed, QPP implementation may be delayed, fewer clinicians may participate, and the program may fail to achieve its goals. We will review CMS's clinician outreach and training efforts and determine the status of IT system development, including the extent to which CMS has conducted security and functionality testing.",
Completed,Centers for Medicare & Medicaid Services,Trends in Hospice Deficiencies and Complaints,Office of Evaluation and Inspections,OEI-02-17-00020,2019,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000211.asp,"The Medicare hospice program is an important benefit for beneficiaries and their families at the end of life.  Surveys and complaint investigations are critical oversight mechanisms that address the care provided to beneficiaries by hospices.  The Centers for Medicare &amp; Medicaid Services (CMS) contracts with State survey agencies to conduct onsite surveys of hospices for certification and in response to complaints.  National accreditation organizations, approved by CMS, may also conduct onsite surveys.  These surveys assess the extent to which hospices meet Federal health and safety standards and require that surveyors cite hospices with deficiencies if they fail to meet the standards.  Previous OIG reports identified numerous vulnerabilities and raised concerns about the limited enforcement actions against poorly performing hospices.  As part of OIG's ongoing commitment to address quality of care, we will determine the extent and nature of hospice deficiencies and complaints and identify trends.",
Completed,Centers for Medicare & Medicaid Services,Medicare Drug Integrity Contractor's Activities,Office of Evaluation and Inspections,OEI-03-17-00310,2018,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000212.asp,"As required by the Comprehensive Addiction and Recovery Act of 2016, this study will fulfill OIG's mandate to review the effectiveness of the Medicare Drug Integrity Contractor (MEDIC) in identifying, combating, and preventing fraud under the Medicare program, including how the MEDIC assists in determining beneficiaries at risk for drug abuse.  Since 2013, there have been policy, regulatory, and statutory changes that affect the way the MEDIC accesses data needed to perform its required benefit integrity activities.  This study will focus on the results of the MEDIC's benefit integrity activities in Medicare Part C and Part D.  It also will describe how the MEDIC assists plan sponsors in identifying potential at-risk beneficiaries.  Finally, it will identify any barriers and challenges the MEDIC has experienced while performing its benefit integrity activities.",
Completed,Centers for Medicare & Medicaid Services,Invalid Prescriber Identifiers on Medicare Part D Drug Claims in 2016,Office of Evaluation and Inspections,OEI-03-17-00040,2018,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000213.asp,"Section 1860D-4(c) of the Social Security Act, as amended by Section 507 of the Medicare Access and CHIP Reauthorization Act of 2015 (MACRA), requires that, starting in plan year 2016, claims for a covered Part D drug must contain a valid prescriber National Provider Identifier (NPI).  (P.L. 114-10 (April 6, 2015) ï¿½ 507.)  MACRA Section 507 requires the Secretary of Health and Human Services to establish procedures for determining the validity of the Part D prescriber NPIs.  MACRA also requires OIG to submit to Congress a report on the effectiveness of these procedures no later than January 1, 2018.  We will determine the extent to which invalid NPIs were used as prescriber identifiers on Part D prescription drug event records in 2016 and identify the procedures the Centers for Medicaid &amp; Medicare Services has used to determine the validity of prescribersï¿½ NPIs.",
Completed,Centers for Medicare & Medicaid Services,FDA Approval Status of Drugs in the Medicaid Drug Rebate Program,Office of Evaluation and Inspections,OEI-03-17-00120,2019,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000214.asp,"The Food and Drug Administration (FDA) is responsible for ensuring that new drugs are safe and effective before they can be approved for marketing in the United States.  With certain exceptions, drugs generally must be FDA-approved for safety and effectiveness to qualify for Federal payments under Medicaid.  Under the Medicaid Drug Rebate Program, a drug manufacturer must provide the Centers for Medicare &amp; Medicaid Services (CMS) with its FDA-assigned labeler code and a complete list of drugs marketed by the company.  Drug manufacturers are also generally required to enter into rebate agreements with the Secretary of Health and Human Services and pay quarterly rebates to States to qualify for Federal payments under Medicaid.  At the request of Congress, we will review the FDA approval status of drugs covered under the Medicaid Drug Rebate Program.  We will also determine what steps CMS takes to review the FDA approval status of drugs and prevent inappropriate payments for unapproved drugs under the Medicaid Drug Rebate Program.",
Completed,Centers for Medicare & Medicaid Services,Accuracy of Drug Classification Data Used to Collect Medicaid Rebates,Office of Evaluation and Inspections,OEI-03-17-00100,2017,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000215.asp,"For Federal payments to be available for covered outpatient drugs provided under Medicaid, drug manufacturers are generally required to enter into rebate agreements with the Secretary of Health and Human Services and pay quarterly rebates to States.  Under the Medicaid Drug Rebate Program, drug manufacturers must provide the Centers for Medicare &amp; Medicaid Services (CMS) with the average manufacturer price (AMP) and, if applicable, best price for each of their covered outpatient drugs.  The rebate amount for a drug is based in part on whether the drug manufacturer classifies it as an innovator, i.e., a single-source or an innovator, multiple-source product, or a non-innovator, multiple-source product.  We will review CMS's Medicaid drug rebate classification data and evaluate the accuracy of innovator and non-innovator classifications for drugs.  We will also review the procedures CMS has in place to ensure that manufacturers are in compliance with the requirements of the Medicaid Drug Rebate Program.",
Completed,Centers for Medicare & Medicaid Services,Reasonable Assumptions in Manufacturer Reporting of AMPs and Best Prices,Office of Evaluation and Inspections,OEI-12-17-00130,2019,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000216.asp,"For Federal payments to be available for covered outpatient drugs p rovided under Medicaid, drug manufacturers are generally required to enter into rebate agreements with the Secretary of HHS and pay quarterly rebates to States.  Under the Medicaid Drug Rebate Program, drug manufacturers must provide the Centers for Medicare &amp; Medicaid Services (CMS) with the average manufacturer price (AMP) and, if applicable, best price (BP) for each of their covered outpatient drugs.  The complexities of industry practices and the absence of specific guidance can present difficulties for manufacturers when calculating AMPs and BPs.  CMS's recent Medicaid covered outpatient drugs final rule offers substantial guidance to manufacturers, but it likely does not provide complete clarity for every situation.  As outlined in the rebate agreement, CMS permits manufacturers to make ""reasonable assumptions"" under certain circumstances when calculating AMPs and BPs.  Manufacturers must document their assumptions, but they are not required to submit them to CMS.  In response to a Congressional request, we will estimate how many manufacturers make such assumptions and identify the major issues for which assumptions are being made.  We will also examine CMS's oversight of the reasonable-assumptions process and explore whether manufacturers believe that CMSï¿½s recent final rule clarified issues for which manufacturers previously made assumptions.
",
Completed,Centers for Medicare & Medicaid Services,Many Medicaid-Enrolled Children Who Were Treated for ADHD Did Not Receive Recommended Followup Care,Office of Evaluation and Inspections,OEI-07-17-00170,2019,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000217.asp,"The Children's Health Insurance Program (CHIP) Reauthorization Act of 2009 (CHIPRA), Section 401:  Child Health Quality Improvement Activities for Children enrolled in Medicaid or CHIP, requires the development of an initial core set of health care quality measures.  The Centers for Medicare &amp; Medicaid Services (CMS) has issued a core set of children's health care quality measures referred to as the Child Core Set that includes two behavioral health care measures related to followup care for children with attention deficit hyperactivity disorder (ADHD).  Prior OIG work found that children enrolled in Medicaid who are prescribed psychotropic medications are not consistently or regularly monitored.  We will evaluate the extent to which children diagnosed with ADHD and enrolled in Medicaid received followup care and psychosocial intervention.",
Completed,Centers for Disease Control and Prevention,CDC's Global Health Security Agenda,Office of Audit Services,A-04-17-02004,2018,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000218.asp,"The Global Health Security Agenda (GHSA) was launched in February 2014 to help create a world safe and secure from the threat of all infectious disease and elevate global health security as a national and global priority. The Centers for Disease Control and Prevention (CDC) received $597 million, to remain available through FY 2019, from the Consolidated and Further Continuing Appropriations Act, 2015 (P.L. 113-235), which CDC is using to implement the GHSA by providing grants to both foreign organizations and U.S.-based organizations (domestic recipients) working abroad.  We will determine whether CDC domestic recipients managed and expended funds to implement the GHSA in accordance with Federal requirements.",
Jun-17,Food and Drug Administration,Review of the Food and Drug Administration's Contract Closeout Actions,Office of Audit Services,A-03-17-03001,2020,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000219.asp,"As one of the largest contracting agencies in the Federal Government, HHS performed contracting actions (awards and modifications) totaling almost $24 billion in fiscal year 2016.  Prior OIG work identified issues regarding contract closeout, which is required once the contracting officer receives evidence of receipt of property and final payment, or evidence of physical completion of the contract.  The closeout process is generally the last chance to detect and recover improper contract payments, and delayed closeout poses a financial risk to agency funds.  Also, the closeout process (1) ensures that goods and services were provided as intended, (2) validates final costs and payments, and (3) frees up excess funds for possible use elsewhere.  We will determine whether the Food and Drug Administration (FDA) closed contracts in accordance with the Federal Acquisition Regulation and departmental guidance.  We will also determine whether the FDA identified when contracts are eligible for closeout.",
Completed,Health Resources and Services Administration,HRSA's Award Process for Zika Response and Preparedness Funds,Office of Audit Services,A-04-17-02003;  W-00-17-59421,2018,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000220.asp,"The Zika Response and Preparedness Appropriations Act, 2016 (P.L. 114-223, Division B, September 29, 2016), provided to HRSA $66 million in funding to remain available until September 30, 2017.  The funding was to be directed at efforts in Puerto Rico and other territories to (1) expand the delivery of primary health care services; (2) support public health departments and entities, with the goal of ensuring access to recommended services for pregnant women, infants, and children; and (3) make loan repayment awards to National Health Service Corps members providing primary health services.  We will determine whether HRSA awarded these funds during fiscal year 2017 in compliance with Federal regulations and HHS grant policies.",
Completed,Indian Health Services,Case Study: Closure of the Rosebud Hospital Emergency Department,Office of Evaluation and Inspections,OEI-06-17-00270,2019,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000221.asp,"The Indian Health Service (IHS) provides comprehensive health services for approximately 2.2 million American Indians and Alaska Natives (AI/ANs).  Ensuring that these services are both safe and accessible is critical to the well-being of AI/ANs.  During a 7-month period, IHS discontinued emergency services at its Rosebud Hospital location.  The closure of the Rosebud emergency department (ED) followed a notice of intent by the Centers for Medicare &amp; Medicaid Services (CMS) to terminate Rosebud Hospital from the Medicare program. Representatives of the Rosebud Sioux Tribe raised concerns to OIG about the Rosebud ED closure and linked that closure to several patient deaths that occurred during ambulance transports to other facilities when emergency care was unavailable locally.  In response to these concerns, we will examine factors considered and procedures involved in IHS's decisions to close and later reopen the Rosebud ED.  We will also assess IHS's management, coordination, and communication related to the closure and will identify lessons learned that IHS could apply to similar situations in the future.",
Completed,Other,HHS Resolution of Audit Recommendations,Office of Audit Services,A-07-17-03227;  A-07-17-03225;  A-07-17-03226;  W-00-17-25102,2019,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000222.asp,"HHS is responsible for resolving Federal and non-Federal audit report recommendations related to its activities, grantees, and contractors within 6 months after formal receipt of the audit report.  OIG prepares and forwards to HHS agencies monthly stewardship reports showing the status of these audit recommendations.  An October 2016 Senate report found that 72 different Inspector General (IG) offices  reported that Federal departments and agencies were wasting a total of $87 billion by failing to implement more than 15,000 IG recommendations.  Of the 72 Federal departments and agencies mentioned in the report, HHS had the second highest number of open and unimplemented IG recommendations and the fifth highest in potential cost savings, $23 billion, if recommendations had been implemented.  We will determine whether each agency has resolved audit recommendations in a timely manner during fiscal years 2015 and 2016.  We will also identify all unresolved audit recommendations that were due for resolution as of September 30, 2016.",
Completed,National Institutes of Health,NIH Compliance with Federal Requirements for Indirect Cost Rate Setting,Office of Audit Services,A-04-17-04059;  W-00-17-59422,2018,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000223.asp,"In fiscal year 2016, HHS  awarded contracts to commercial organizations totaling over $5.9 billion.  Indirect costs make up a significant portion of award costs.  The National Institutes of Health (NIH) Division of Financial Advisory Services (DFAS) is the cognizant Federal agency responsible for negotiating and establishing indirect cost rates for commercial organizations that receive the preponderance of their Federal contract awards from HHS.  We will determine whether DFAS established indirect cost rates for applicable commercial organizations in accordance with Federal requirements.",
Completed,Centers for Medicare & Medicaid Services,Review of Quality Measures Data Reported by Accountable Care Organizations in the Medicare Shared Savings Program,Office of Audit Services,A-09-18-03033; W-00-18-35798,2020,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000224.asp,"The Medicare Shared Savings Program (MSSP) was established by section 3022 of the Patient Protection and Affordable Care Act to facilitate coordination and cooperation among providers, improve quality of care for Medicare fee-for-service beneficiaries, and reduce unnecessary costs.  Eligible providers and suppliers may voluntarily participate in the MSSP by creating or joining an Accountable Care Organization (ACO).  ACOs that lower health care costs and meet quality performance standards for their beneficiary populations are eligible to share in any savings that the ACOs generate for the Medicare program (earned shared savings).  To demonstrate that they are providing appropriate, high-quality care while reducing costs, ACOs are required to report complete and accurate data on quality measures and to satisfy minimum levels of certain quality measures as set by CMS.  CMS assesses an ACO's overall quality performance by calculating a single quality performance score across all quality measures reported by the ACO.  This score is used in part to calculate the ACO's earned shared savings.  We will review MSSP ACOs that received earned shared savings payments to determine whether they reported quality measures data in accordance with Federal requirements.  Our review is part of several OIG reviews that will examine various aspects of the ACOs under the MSSP.",
Completed (partial),Centers for Medicare & Medicaid Services,Consumer-Directed Personal Assistance Program,Office of Audit Services,A-02-16-01026;W-00-16-31035;,2022,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000225.asp,"Medicaid Consumer-Directed Personal Assistance Programs provide an alternative way of receiving home care services in which consumers have more control over who provides their care and how it is provided.  Rather than assigning a home care agency that controls selection, training, and scheduling of aides, the ""consumer,"" or the family member, friend, or guardian directing his or her care, performs all these functions usually done by the agency.  Eligible individuals include those eligible for services provided by a certified home health agency, a long-term home health care (waiver) program, AIDS home care program, or personal care (home attendant).  Prior OIG work has shown vulnerabilities in personal care programs resulting in ineligible beneficiaries and Medicaid payments that do not comply with Federal and State regulations.  We will determine whether selected States made Medicaid payments for consumer-directed personal assistance program claims in accordance with applicable Federal and State regulations.",
Completed (partial),Centers for Medicare & Medicaid Services,Health and Safety Standards in Social Services for Adults,Office of Audit Services,A-05-16-00044;  A-05-17-00030;  A-05-17-00009;  A-05-17-00028;  W-00-20-31503,2022,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000226.asp,"State agencies operate elderly waiver programs under a 1915(c) waiver to their Medicaid State plan.  Adult day centers are center-based facilities directly licensed by the State agency.  They provide adult day services to functionally impaired adults on a regular basis for periods of fewer than 24 hours during the day in a nonresidential setting.  As the licensing agency for adult day care centers, the State agency must ensure that adult day centers follow applicable licensing standards to protect the health and safety of adults receiving services at these facilities.  Recent OIG reports have identified numerous instances of noncompliance in regulated child care facilities and family adult foster care homes.  We will determine whether regulated adult day centers comply with applicable Federal, State, and local regulations and standards on ensuring the health and safety of adults in their care, including infection control for conditions such as coronavirus disease 2019 (COVID-19) and other coronaviruses.",
Completed,Centers for Medicare & Medicaid Services,Medicare Part B Payments for Ambulance Services Subject to Part A Skilled Nursing Facility Consolidated Billing Requirements,Office of Audit Services,A-01-17-00506  W-00-17-35794; A-01-17-00506,2020,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000227.asp,"Medicare Part A prospective payments to skilled nursing facilities (SNFs) include most of the services that outside suppliers provide to SNF residents.  Pursuant to 1862(a)(18) and 1842(b)(6)(E) of the Social Security Act, outside suppliers, including ambulance suppliers, must bill and receive payment from the SNF, not Medicare, for services provided to beneficiaries in SNF stays covered under Medicare Part A.  Prior Office of Inspector General reports have identified high error rates and significant overpayments for services subject to SNF consolidated billing.  We will determine whether ambulance services paid by Medicare Part B were subject to Part A SNF consolidated billing requirements.  We will also assess the effectiveness of edits in CMS's Common Working File to prevent and detect Part B overpayments for ambulance transportation subject to consolidated billing.",
Completed (partial),Centers for Medicare & Medicaid Services,Assertive Community Treatment Program,Office of Audit Services,A-02-17-01008;  A-02-17-01020;  A-02-17-01009;  W-00-17-31521,2021,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000228.asp,"The Assertive Community Treatment (ACT) program offers treatment, rehabilitation, and support services using a person-centered, recovery-based approach to individuals who have been diagnosed with severe and persistent mental illness.  Individuals receive ACT services including assertive outreach, mental health treatment, health, vocational, integrated dual disorder treatment, family education, wellness skills, community linkages, and peer support from a mobile, multidisciplinary team in community settings.  Prior OIG work has shown vulnerabilities in States' mental health programs and their rate-setting methodologies, resulting in Medicaid payments that do not comply with Federal and State requirements.  We will determine whether (1) Medicaid payments for ACT services complied with Federal and State requirements and (2) the payment rate for ACT services met the Federal requirement that payment for services be consistent with efficiency, economy, and quality of care.",
