,Report Number(s),Workplan_Title,Workplan_Summary
328,OEI-12-17-00130,Reasonable Assumptions in Manufacturer Reporting of AMPs and Best Prices Report  (OEI-12-17-00130) 09-18-2019,"Ensuring the accuracy of manufacturer-reported average manufacturer prices (AMPs) and best prices (BPs) is vital given that these prices are the primary benchmarks that the Federal Government uses to calculate the rebates and discounts available to Medicaid and certain safety-net providers.  In the absence of guidance to the contrary, CMS allows manufacturers to make ""reasonable assumptions"" that are consistent with statute and regulation when they calculate the AMPs and BPs for Medicaid-covered drugs.  Previous OIG work has shown that manufacturers have made different assumptions when including or excluding certain sales in their price calculations, potentially leading to significantly lower or higher AMPs and BPs.  AMPs and BPs are used to calculate the amount of rebates that manufacturers must pay to Medicaid.  A lower AMP for example, could reduce the rebate amount that a manufacturer must pay, thus increasing net costs for Medicaid.  In addition, AMPs and BPs are also used to establish the prices paid by health care entities eligible for the 340B Drug Discount Program.  In September 2016, Congress asked OIG to examine CMS's oversight of the Medicaid Drug Rebate Program.  This report is the last of three OIG evaluations related to this request., OIG surveyed a sample of drug manufacturers participating in the Medicaid Drug Rebate Program to identify the primary areas in which they make assumptions when calculating AMP and BP.  OIG also asked manufacturers to identify the areas in which they would like greater guidance or instruction from CMS on calculating AMP or BP.  We also interviewed and surveyed CMS officials regarding their processes for collecting and reviewing the assumptions that manufacturers make., Our findings show that the use of reasonable assumptions is common practice among responding manufacturers, and that nearly two-thirds reported wanting additional guidance from CMS on assumptions-related issues.  In our analysis of manufacturer responses, four areas stood out as warranting attention from CMS: oral specialty drugs; value based purchasing arrangements; bona fide service fees; and rebates to pharmacy benefits managers. , Historically, CMS has provided little formalized oversight of the reasonable assumptions process, specifically instructing manufacturers not to submit their reasonable assumptions to CMS.  The agency has stated that it has limited authority to assess manufacturers' assumptions, and that it does so only on a case-by-case basis to support formal oversight inquiries, manufacturer recalculations, and requests for technical assistance.  To that end, CMS has recently developed a process for specific manufacturer inquiries regarding calculations of AMP and BP.  , Manufacturers and OIG recognize that with hundreds of manufacturers, thousands of drugs, and a myriad of complex practices for pricing and sales, CMS is not in a position to review all assumptions on a regular basis.  However, given the far-reaching importance of AMPs and BPs, OIG believes that-with the goal of ensuring compliance and consistency in the industry-CMS could take additional steps to improve oversight in the area., We recommend that CMS (1) issue guidance related to specific areas identified in this report-specifically, value based purchasing agreements; (2) assess the costs and benefits of implementing a targeted process to review certain assumptions; and (3) implement a system to share responses to manufacturer inquiries for technical assistance.  CMS concurred with all three recommendations."
329,OEI-07-17-00170,Many Medicaid-Enrolled Children Who Were Treated for ADHD Did Not Receive Recommended Followup Care Report  (OEI-07-17-00170) 08-13-2019,"Attention deficit hyperactivity disorder (ADHD) is a common neurobehavioral disorder with symptoms of inattention, hyperactivity, and impulsivity.  The Department of Health and Human Services publishes national quality measures that outline timeframes for followup care for children with ADHD.  Additionally, professional guidelines from American Academy of Pediatrics and American Academy of Child and Adolescent Psychiatry describe the importance of followup care and behavioral therapy for these children.  Some children may not receive followup care or behavioral therapy for reasons such as limited access to care or because practitioners may be unaware of the professional recommendations.  This study focuses specifically on the extent to which children do not receive followup care and behavioral therapy. , Children with ADHD have higher rates of repeating grade levels, dropping out of school, and receiving hospital care.  Childhood ADHD is also associated with negative outcomes in adulthood such as increased rates of other mental health problems, criminal behavior, and increased risk for suicide.  The annual societal costs of ADHD are estimated up to $266 billion from loss of productivity, as well as spending in the healthcare, justice, and educational systems.  , An estimated 13 percent of Medicaid-enrolled children are impacted by ADHD.  Treatment involving behavioral therapy, medication, and followup care can help improve these children's outcomes, long-term prognoses, and quality of life., OIG conducted this review in response to a congressional request to evaluate pharmaceutical and behavioral therapy treatment of Medicaid-enrolled children with ADHD. , We reviewed Medicaid claims data, fiscal years 2014 and 2015, from all States and the District of Columbia for Medicaid-enrolled children who received ADHD treatment.  We examined whether children received: (1) timely followup care with practitioners after being newly prescribed an ADHD medication, (2) timely followup care after ADHD hospitalizations, and (3) behavioral therapy in addition to ADHD medication.  We also interviewed professionals to understand the impact ADHD has on children., Over 500,000 Medicaid-enrolled children who were newly prescribed an ADHD medication and over 3,500 children hospitalized with a primary diagnosis of ADHD did not receive followup care within the timeframes outlined in the national quality measures.  Additionally, over 54,000 children did not receive any behavioral therapy as recommended by professional guidelines. , We recommend that the Centers for Medicare &amp; Medicaid Services (CMS) work toward improving health outcomes by developing strategies to increase the number of children who receive timely followup care for ADHD.  Specifically, we recommend that CMS: , CMS concurred with all three of our recommendations."
330,A-04-17-02004,The Association for Public Health Laboratories Managed Global Health Security Agenda Funds in Accordance With Federal Requirements Audit (A-04-17-02004) 02-13-2018,"For the grant we reviewed, Association for Public Health Laboratories managed Global Health Security Agenda funds during the budget period July 1, 2015 through June 30, 2016, in accordance with Federal requirements. Accordingly, this report
                contains no recommendations. , Filed under: <a href=""/reports-and-publications/oas/cdc.asp"">Centers for Disease Control and Prevention</a>"
331,A-03-17-03001,,
332,A-04-17-02003,HRSA Complied With Federal and HHS Grant Policies When Awarding Zika Response and Preparedness Appropriations Act Funds During Fiscal Year 2017 Audit (A-04-17-02003) 10-19-2017,"For the 30 grants we reviewed, HRSA awarded Zika Act funds during fiscal year 2017 in compliance with applicable Federal and HHS grant policies. Accordingly, this report contains no recommendations., Filed under: <a href=""/reports-and-publications/oas/hrsa.asp"">Health Resources and Services Administration</a>"
333,OEI-06-17-00270,Case Study: Indian Health Service Management of Rosebud Hospital Emergency Department Closure and Reopening Report  (OEI-06-17-00270) 07-17-2019,"IHS provides comprehensive Federal health services to approximately 2.6 million American Indians and Alaska Natives.  In 2016, OIG found significant problems in the quality of care and oversight of IHS-operated hospitals.  Congressional testimonies in recent years and deficiency findings by the Centers for Medicare &amp; Medicaid Services (CMS) also raised concerns about quality and patient access to care in IHS hospitals.  During a 3-year period, IHS temporarily closed the emergency department (ED) at 4 of its 24 hospitals.  The Rosebud Hospital ED remained closed for more than 7 months.  We conducted this study to examine IHS's management of the closure and reopening of the Rosebud Hospital ED to identify lessons learned that IHS could apply should similar situations arise in the future., This report provides a chronology of events and identifies factors that led to the closure of the Rosebud Hospital ED, improvement efforts to reopen the ED, and continued lapses in compliance.  We interviewed leadership and staff at IHS headquarters, the Great Plains Area Office, and Rosebud Hospital, and other stakeholders, including administrators at CMS, receiving hospitals, and the Rosebud Sioux Tribe.  We also reviewed both internal and publicly available documents from IHS and stakeholders., After receiving citations during a CMS survey deemed of immediate jeopardy (IJ) to ED patients, IHS closed the Rosebud Hospital ED in December 2015.  IHS diverted Rosebud patients to the nearest hospitals but did not provide the hospitals or the emergency medical services (EMS) adequate time to prepare.  The receiving hospitals were overwhelmed by the volume and complexity of patients, and EMS struggled to meet demands with its limited staff and longer patient transports.  To correct Rosebud Hospital's deficiencies and re-open the ED, IHS provided additional resources and support from across IHS, sought assistance from other agencies, and entered into a Systems Improvement Agreement (SIA) with CMS.  IHS made improvements prompted by the SIA, which included updating policies and revising governing board bylaws.  IHS completed the SIA to CMS's satisfaction in September 2017, but CMS cited Rosebud Hospital again with ED-related IJ deficiencies in July 2018., To correct underlying problems and better serve its beneficiaries, we recommend that IHS, as a management priority, develop and implement a staffing program for recruiting, retaining, and training clinical and leadership staff in remote hospitals.  This is a necessary first step to addressing quality issues long term; however, other actions are also needed, including taking steps to ensure that IHS intervenes early and effectively when problems emerge.  To ensure better management of any future ED closures, we also recommend that IHS develop procedures for temporary ED closures and communicate those procedures with receiving hospitals and EMS to ensure that they are adequately prepared for such events.  IHS concurred with our recommendations"
334,A-07-17-03227,The Indian Health Service Did Not Always Resolve Audit Recommendations in Accordance With Federal Requirements Audit (A-07-17-03227) 09-24-2018,"The U.S. Department of Health and Human Services (HHS), Indian Health Service (IHS), did not always resolve audit recommendations in a timely manner during Federal fiscal years (FYs) 2015 and 2016.  Specifically, IHS resolved 138 of the 651 recommendations that were outstanding during FYs 2015 and 2016.  However, it did not resolve 123 of the 138 recommendations (89.1 percent) within the required 6-month resolution period.  In addition, as of September 30, 2016, IHS had not resolved 513 audit recommendations that were past due for resolution.  These 513 past-due recommendations were procedural in nature and typically involved policies and procedures and internal controls; none of them involved dollar amounts such as recommended disallowances., IHS had policies and procedures in place to ensure that non-Federal audit recommendations were resolved in compliance with Federal requirements, and these policies and procedures specifically stated that audit recommendations are considered unresolved if they are not resolved within 6 months of the audit reports issue date.  However, IHS did not generally follow these policies and procedures.  As a result, for non-Federal audits, IHS did not usually issue management decisions and submit the related clearance documents within the required 6-month resolution period.  According to IHS officials, IHS did not always take these steps primarily because audit resolution was not always given high priority by the contracting officers responsible for obtaining management decisions and issuing appropriate documentation, due to competing responsibilities and limited resources., Without resolving all audit recommendations in a timely manner, IHS runs the risk of noncompliance with Federal requirements and mismanagement of Federal funds.  The prompt resolution of audit recommendations helps ensure that Federal funds are effectively and efficiently used to carry out the activities for which they were authorized., We recommended that IHS follow, and where necessary update, its policies and procedures related to the non-Federal and Federal audit resolution processes; promptly resolve the 513 outstanding audit recommendations that were past due as of September 30, 2016; follow the reconciliation process that it implemented at the end of our audit period; and give higher priority to audit resolution in accordance with Federal requirements., IHS concurred with all of our recommendations and described corrective actions that it had taken or planned to take.  IHS said that it planned to have Federal audit resolution policies and procedures in place by November 30, 2018.  IHS also stated that it would identify and promptly resolve any recommendations that were past due as of September 30, 2016, and that it would continue to perform quarterly reconciliations to identify open audits and to oversee performance by responsible officials., Filed under: <a href=""/reports-and-publications/oas/ihs.asp"">Indian Health Service</a>"
335,A-07-17-03225,The Administration for Children and Families Did Not Always Resolve Audit Recommendations in Accordance With Federal Requirements Audit (A-07-17-03225) 07-02-2018,"The U.S. Department of Health and Human Services (HHS), Administration for Children and Families (ACF), did not always resolve audit recommendations in a timely manner during Federal fiscal years (FYs) 2015 and 2016.  Specifically, ACF resolved 1,570 of the 2,248 audit recommendations that were outstanding during FYs 2015 and 2016.  However, it did not resolve 1,392 of the 1,570 recommendations (88.7 percent) within the required 6-month resolution period.  In addition, as of September 30, 2016, ACF had not resolved 678 audit recommendations that were past due for resolution.  The dollar amounts associated with these past-due recommendations totaled $36.5 million., ACF had policies and procedures in place to ensure that audit recommendations were resolved in compliance with Federal requirements, and these policies and procedures specifically stated that audit recommendations are considered unresolved if they are not resolved within 6 months of the audit reports issue date.  However, ACF did not always issue management decisions and submit the related Office of Inspector General (OIG) clearance documents (OCDs) to OIG within the required 6-month resolution period.  , According to ACF officials, ACF did not always issue OCDs within 6 months primarily because it lacked sufficient staff to perform this work.  These officials also alluded to the large number of grants that ACF awards, and they acknowledged that audit resolution may not always have been given high priority because most of the ACF staff involved in this audit resolution process had other assigned duties as well., Without resolving all audit recommendations in a timely manner, ACF runs the risk of noncompliance with Federal requirements and mismanagement of Federal funds.  The prompt resolution of audit recommendations helps ensure that Federal funds are effectively and efficiently used to carry out the activities for which they were authorized., We recommended that ACF (1) follow its policies and procedures to ensure that management decisions are issued within the required 6-month resolution period, (2) resolve the 678 outstanding audit recommendations that were past due as of September 30, 2016, (3) follow its recently implemented procedures by reconciling each month the OIG stewardship reports with ACFs internal audit tracking and monitoring system and following up on any differences noted, and (4) give higher priority to audit resolution so that the audit resolution process is conducted in accordance with Federal requirements., ACF concurred with all of our recommendations and described actions that it had taken or planned to take.  ACF said that it would continue to work toward complying with the required 6-month resolution period and resolving the backlog of outstanding audit recommendations and added that it would continue to work with OIG to reconcile the OIG stewardship reports to its own internal audit tracking and monitoring system.  In addition, ACF stated that it is working to realign workflow and responsibilities to prioritize and place greater emphasis on audit resolution., Filed under: <a href=""/reports-and-publications/oas/cms.asp"">Center for Medicare and Medicaid Services</a>"
336,A-07-17-03226,"Although the Centers for Disease Control and Prevention Resolved Nearly All Audit Recommendations, It Did Not Always Do So in Accordance With Federal Timeframe Requirements Audit (A-07-17-03226) 02-25-2019","The U.S. Department of Health and Human Services (HHS), Centers for Disease Control and Prevention (CDC), did not always resolve audit recommendations in a timely manner during Federal fiscal years (FYs) 2015 and 2016.  Specifically, CDC resolved 855 of the 888 audit recommendations that were outstanding during FYs 2015 and 2016.  However, it did not resolve 827 of the 855 recommendations (96.7 percent) within the required 6-month resolution period.  In addition, as of September 30, 2016, CDC had not resolved 33 audit recommendations that were past due for resolution.  Some of the past-due recommendations had associated dollar amounts that totaled $140,946; others of the past-due recommendations were procedural in nature and involved policies and procedures and internal controls., CDC had policies and procedures in place to ensure that audit recommendations were resolved in compliance with Federal requirements, which require resolution of audit recommendations within 6 months of the audit report's issue date.  However, CDC did not generally follow these policies and procedures.  As a result, CDC did not usually issue management decisions and submit the related clearance documents within the required 6-month resolution period.  , Without resolving all audit recommendations in a timely manner, CDC runs the risk of noncompliance with Federal requirements and mismanagement of Federal funds.  The prompt resolution of audit recommendations helps ensure that Federal funds are effectively and efficiently used to carry out the activities for which they were authorized., We recommended that CDC follow its policies and procedures related to the audit resolution process and promptly resolve the 27 outstanding audit recommendations (33 that were past due as of September 30, 2016, less 6 resolved after the end of our audit period)., CDC did not directly concur with our recommendations but described corrective actions that it had taken or planned to take.  CDC stated that it has improved its process and standard operating procedures to submit clearance documents within the 6-month resolution period and added that it had resolved the 27 outstanding audit recommendations., Filed under: <a href=""/reports-and-publications/oas/cdc.asp"">Centers for Disease Control and Prevention</a>"
337,A-04-17-04059,"The National Institutes of Health, Division of Financial Advisory Services Did Not Always Establish Final Indirect Cost Rates in Accordance With Federal Requirements Audit (A-04-17-04059) 05-04-2018","The Department of Health and Human Services (HHS), National Institutes of Health (NIH), Division of Financial Advisory Services (DFAS), is the cognizant Federal agency responsible for negotiating and establishing indirect cost rates for for-profit
                organizations that receive the majority of their Federal awards from HHS., In 2015, the HHS Office of lnspector General (OIG) determined that DFAS had a large backlog of unfinalized indirect cost rates that may have contributed to the untimely closeout of contracts totaling $25 billion at the Centers for Medicare
                &amp; Medicaid Services. In 2016, the Government Accountability Office identified weaknesses in the design of DFASï¿½s internal controls for establishing indirect cost rates., Our objective was to determine whether DFAS established final indirect cost rates for applicable organizations in accordance with Federal requirements. , Our audit covered 1,187 final indirect cost rate agreements that DFAS established for organizations during fiscal years 2012 through 2016. We selected a sample of 15 rate agreementsï¿½3 rate agreements for each year of the audit period; reviewed
                the DFAS case files containing the proposals and work papers associated with each sampled rate agreement; interviewed auditors and supervisors assigned to the proposals; and determined the extent to which DFAS complied with Federal requirements
                for reviewing, negotiating, and establishing final indirect cost rates., DFAS did not always establish final indirect cost rates for applicable organizations in accordance with Federal requirements during our audit period. DFAS had procedures to assess the allowability, allocability, and reasonableness of proposed
                indirect costs and identified unallowable costs that were excluded in its negotiations of rate agreements; however, DFAS did not always obtain adequate data demonstrating that (1) organizationsï¿½ proposed indirect costs were allowable,
                allocable, and reasonable in accordance with the Federal Acquisition Regulation (FAR) and (2) proposed direct cost bases were appropriate for the fair distribution of indirect costs to cost objectives; DFAS may not have established indirect
                cost rates as promptly as practical after receiving proposals; and DFAS used indirect cost rate ceilings in situations not covered by the FAR., DFAS did not always comply with Federal requirements for establishing indirect cost rates because neither NIH nor HHS had adequately defined the extent of DFASï¿½s roles and responsibilities as a cognizant Federal agency for indirect cost rates.
                , We make several recommendations to DFAS to clarify its roles and responsibilities as a cognizant Federal agency for indirect cost rates and to update its policies and procedures to comply with Federal requirements. Refer to the report for
                the full text of our recommendations., In written comments on our draft report, NIH did not concur with our recommendations. NIH stated that it believed that significant corrective actions have already taken place, such as adding two new branches devoted to indirect cost rates
                within its organization and rolling out procedures for assessing risk in determining the adequacy of indirect cost rate proposals. NIH also provided technical comments on our draft report that we have incorporated into this report as appropriate.
                , We maintain that our findings and recommendations are correct. However, we partially revised our first recommendation based on NIHï¿½s comments., Filed under: <a href=""/reports-and-publications/oas/nih.asp"">National Institutes of Health </a>"
338,A-09-18-03033,"CMS's Monitoring Activities for Ensuring That Medicare Accountable Care Organizations Report Complete and Accurate Data on Quality Measures Were Generally Effective, but There Were Weaknesses That Could Be Improved A-09-18-03033 09-22-2020","Accountable Care Organizations (ACOs) in the Medicare Shared Savings Program (MSSP) may be eligible to receive shared savings payments from the Centers for Medicare &amp; Medicaid Services (CMS) if the ACOs reduce health care costs and satisfy the MSSP quality performance standard for their assigned beneficiaries.  As part of the standard, ACOs must report to CMS complete and accurate data on all quality measures.  For performance year (PY) 2017, ACOs were required to report data on 31 quality measures through 3 methods of submission: a patient survey, claims and administrative data, and the designated CMS web portal.  If ACOs do not report complete and accurate data, shared savings payments could be affected.  Previous OIG audits of two selected ACOs assessed whether they reported complete and accurate data on selected quality measures.  , Our objective was to determine whether CMS's monitoring activities were effective for ensuring that ACOs report complete and accurate data on quality measures., For PY 2017, we reviewed CMS's procedures and documentation.  We also reviewed the Statements of Work, which included specific monitoring tasks for CMS's contractors to perform on behalf of CMS.  In addition, we obtained information from the survey vendors on CMS's monitoring activities for the patient survey.  , CMS's monitoring activities were generally effective for ensuring that ACOs report complete and accurate data on quality measures through claims and administrative data and the CMS web portal.  (For example, ACOs report data through the web portal on whether beneficiaries received preventive care, such as depression screenings.)  However, we identified weaknesses in CMS's monitoring activities that could lead to ACOs reporting incomplete or inaccurate data through the patient survey.  Specifically, CMS did not ensure that its contractor: (1) verified survey vendors' correction of identified issues even though the issues were directly related to the collection or reporting of data and (2) provided feedback reports in time for survey vendors to include in their Quality Assurance Plans (QAPs) all of the changes implemented to address identified issues.  (A QAP describes a survey vendor's process for performing the patient survey and complying with the CMS Quality Assurance Guidelines.)  In addition, CMS did not ensure that its contractor reviewed survey instruments (e.g., mail survey packages) translated into other languages.  As a result of these weaknesses, ACOs may not report complete and accurate data on quality measures, which could affect the ACOs' overall quality performance scores and ultimately the shared savings payments., To improve its monitoring activities for ensuring that ACOs report complete and accurate data on quality measures, we recommend that CMS update the Statement of Work to require its contractor to: (1) verify that survey vendors have corrected identified issues that directly relate to the collection or reporting of data; (2) confirm that all implemented changes to address the identified issues are included in QAPs before they are approved; and (3) review the translated survey templates, mail survey packages, and telephone survey scripts to ensure that they are consistent with the English versions., CMS concurred with our recommendations and described actions that it had taken or planned to take to address our recommendations.  For each recommendation, CMS stated that it will review current contractor requirements and incorporate updates within the scope of the contract as needed to address the related finding., Filed under: <a href=""/reports-and-publications/oas/cms.asp"">Centers for Medicare and Medicaid Services</a>"
339,A-02-16-01026,New York Claimed Federal Reimbursement for Consumer-Directed Personal Assistance Services That Did Not Meet Medicaid Requirements Audit (A-02-16-01026) 06-04-2018,"Previous OIG reviews have identified Medicaid personal care services in New York as vulnerable to waste, fraud, and abuse. Based on these results, we decided to review New York's consumer-directed personal assistance program (CDPAP) services,
                which include personal care, home health, and nursing services. New York's CDPAP permits chronically ill and physically disabled beneficiaries flexibility and freedom in choosing, training, and supervising their providers. New York claimed
                Federal Medicaid reimbursement totaling more than $579 million for CDPAP services provided from January 2012 through June 2016 (audit period)., Our objective was to determine whether New York claimed Federal Medicaid reimbursement for CDPAP services in accordance with applicable Federal and State requirements., We selected a statistical sample of 120 CDPAP claims for services provided during the audit period. We obtained and reviewed documentation to determine whether each selected claim was billed correctly. For 27 of 120 sampled claims, New York
                claimed Federal reimbursement for CDPAP services claims that did not meet Medicaid requirements. Specifically, New York did not provide documentation of services claimed, claimed reimbursement for services that were not authorized or supported,
                and claimed reimbursement for claims for which documentation was not completed in a timely manner. New York also claimed reimbursement for services provided after a 6-month authorization period had lapsed. This occurred because New York
                did not effectively monitor the CDPAP for compliance with certain CDPAP requirements., Based on our sample results, we estimated that New York improperly claimed at least $74.8 million in Federal Medicaid reimbursement during our audit period. New York's lack of effective monitoring of the CDPAP leaves the program vulnerable
                to misuse of Federal funds and could potentially place beneficiaries at risk of harm., We recommended that New York refund $74.8 million to the Federal Government, reinforce guidance related to CDPAP documentation and billing requirements, and improve its monitoring of the CDPAP to ensure compliance with CDPAP requirements., In written comments on our draft report, New York did not indicate concurrence or nonconcurrence with our recommendations (though it did disagree with our findings related to 24 sample claims); however, it described the actions it was taking
                or planned to take in response to each of our recommendations. Specifically, New York provided a list of policies and guidance materials issued during our audit period related to CDPAP compliance and requirements and stated that it continues
                to provide guidance on an as-needed basis through routine audits of local social services districts. Under separate cover, New York provided documentation for 39 of the 43 sample claims questioned in our draft report. After reviewing New
                York's comments and the documentation provided, we revised our determinations for 16 claims and modified our statistical estimates accordingly. We maintain that our revised findings and recommendations are valid., Filed under: <a href=""/reports-and-publications/oas/cms.asp"">Centers for Medicare and Medicaid Services</a>"
340,A-05-16-00044,Minnesota Did Not Comply With Federal Waiver and State Requirements for 18 of 20 Family Adult Foster Care Homes Reviewed Audit (A-05-16-00044) 10-31-2017,"The Minnesota Elderly Waiver program (the program) funds home- and community-based services for people aged 65 and older who are eligible for medical assistance and require the level of care provided in a nursing home but choose to live in the community, such as at a licensed family adult foster care home (home).  Minnesota operates the program under a Federal waiver to its Medicaid State plan.  We have conducted health and safety reviews of Head Start grantees and of regulated childcare facilities and wanted to determine whether there may be similar health and safety risks for vulnerable adults living in homes., Our objective was to determine whether Minnesota complied with Federal waiver and State requirements in overseeing homes that serve vulnerable adults who receive services through the program., Of the 131 homes in Minnesota where vulnerable adults who receive services through the program resided for the quarter ended March 2016, we selected 20 homes for our review.  We selected the homes on the basis of their geographic location and history of health and safety-related violations identified by the State.  We conducted unannounced site visits from June 21 through August 18, 2016.  , Minnesota did not comply with Federal waiver and State requirements in overseeing homes that serve vulnerable adults who receive services through the program.  We determined that 18 of the 20 homes we reviewed did not comply with 1 or more State licensing requirements.  Specifically, we found 64 instances of noncompliance related to health and safety and administrative requirements.  , County licensor supervisors stated that instances of noncompliance occurred mainly because of low staffing levels and a lack of training opportunities for license holders (providers) and county licensors.  Additionally, specific State licensing requirements on the necessity of safeguarding hazardous materials were unclear., We recommended that Minnesota ensure that the 64 instances of noncompliance with health and safety and administrative requirements identified in this report are corrected, work with counties to ensure the health and safety of vulnerable adults by considering staffing standards and caseload thresholds for county agencies, review training opportunities available to providers and county licensors and improve or increase them as needed, and ensure that Minnesota guidance accurately reflects administrative requirements related to hazardous materials., Minnesota partially concurred with our first and second recommendations and concurred with our third and fourth recommendations.  Minnesota also outlined its plans for corrective actions, which include updating State guidance and developing training materials and licensor training specific to home safety., In response to Minnesota's comments, we maintain that all of our findings and the associated recommendations are valid and that in four of the six instances of noncompliance involving kitchen knives we reviewed, homes had at least one vulnerable adult residing who either had a history of physical aggression towards others or had a medical condition (i.e., dementia) that could pose a potential danger to self or others when kitchen knives are readily accessible., Filed under: <a href=""/reports-and-publications/oas/cms.asp"">Centers for Medicare and Medicaid Services</a>"
341,A-05-17-00030,Wisconsin Did not Comply With Federal Waiver and State Requirements at all 20 Adult Day Care Centers Reviewed (A-05-17-00030) 10-15-2018,"Wisconsin did not comply with Federal waiver and State requirements in overseeing centers that serve vulnerable adults who receive services through the Family Care program (the program).  All 20 of the centers we reviewed did not comply with State certification requirements.  In total, we found 208 instances of noncompliance with health and safety and administrative requirements., Wisconsin said that instances of noncompliance occurred partly because of low staffing levels that did not allow State surveyors to make recertification visits every 2 years.  Additionally, Wisconsin officials confirmed that the certification checklist was outdated and lacked clarity on certain requirements, and certification requirements were not in the Wisconsin Administrative Rules.  Wisconsin also said that there was minimal attendance by center personnel at State- or trade association-sponsored voluntary training programs.  Finally, center personnel indicated the need for improved State agency communication and more guidance related to the specific center certification requirements., Filed under: <a href=""/reports-and-publications/oas/cms.asp"">Centers for Medicare and Medicaid Services</a>"
342,A-05-17-00009,Minnesota Did Not Comply With Federal Waiver and State Requirements for All 20 Adult Day Care Centers Reviewed Audit (A-05-17-00009) 05-30-2018,"Minnesota did not comply with Federal waiver and State requirements in overseeing centers that serve vulnerable adults who receive services through the program.  To protect the health and safety of vulnerable adults, Minnesota, as the licensing agency for centers, must ensure that centers follow licensing requirements in State statutes established in its application for waiver services.  These licensing requirements include health and safety and administrative requirements., We determined that all 20 of the centers we reviewed did not comply with State licensing requirements.  In total, we found 200 instances of noncompliance with health and safety and administrative requirements.  , Minnesota said that the instances of noncompliance occurred because low staffing levels did not allow State licensors to make relicensing visits every 2 years.  Additionally, Minnesota and the centers indicated that there was a need to develop templates for administrative records that the State requires. , We recommended that Minnesota (1) ensure that the 200 instances of noncompliance with health and safety and administrative requirements identified in this report are corrected, (2) ensure the health and safety of vulnerable adults by considering staffing standards and caseload thresholds for State licensors, and (3) consider developing templates for administrative records the State requires., Filed under: <a href=""/reports-and-publications/oas/cms.asp"">Centers for Medicare and Medicaid Services</a>"
343,A-05-17-00028,Illinois Did Not Comply With Federal Waiver and State Requirements at 18 of 20 Adult Day Service Centers Reviewed Audit (A-05-17-00028) 07-24-2018,"Illinois did not comply with Federal waiver and State requirements in overseeing centers that serve vulnerable adults who receive services through the Elderly Waiver program.  We determined that 18 of the 20 centers we reviewed did not comply with 1 or more State requirements.  Specifically, we found 105 instances of noncompliance with health and safety and administrative requirements., Illinois officials said that most instances of noncompliance occurred because center personnel did not have sufficient training on State requirements.  Although the State offers initial training to new centers, more State-led training is needed for established centers., Filed under: <a href=""/reports-and-publications/oas/cms.asp"">Centers for Medicare and Medicaid Services</a>"
344,A-01-17-00506W-00-17-35794,,
345,A-01-17-00506,Medicare Paid Twice for Ambulance Services Subject to Skilled Nursing Facility Consolidated Billing Requirements Audit (A-01-17-00506) 02-06-2019,"Prior OIG reviews identified significant Medicare Part B overpayments, including those to ambulance suppliers, for services they provided to Medicare beneficiaries during skilled nursing facility (SNF) stays covered under Medicare Part A.  The Centers for Medicare &amp; Medicaid Services (CMS) generally concurred with recommendations in these reports and implemented them.  However, our analysis of recent claim data indicated that overpayments for ambulance transportation might still be occurring., Our objective was to determine whether Medicare made Part B payments to ambulance suppliers for transportation services that were also included in Medicare Part A payments to SNFs as part of consolidated billing requirements., We selected a stratified random sample of 100 beneficiary days. Each beneficiary day contained all ambulance claim line items for a given beneficiary having the same date of service.  These line items were paid nationwide by Medicare Part B with dates of service from July 1, 2014, to 
June 30, 2016, for services provided to beneficiaries in Part A SNF stays.  , Medicare made Part B payments to ambulance suppliers for transportation services that were also included in Medicare Part A payments to SNFs as part of consolidated billing requirements.  For 78 of the 100 beneficiary days we sampled, Medicare made Part B payments that were incorrect.  Medicare overpaid the ambulance suppliers because the Common Working File (CWF) edits were not designed to prevent or detect Part B overpayments for all transportation subject to consolidated billing.  In addition, ambulance suppliers did not have the necessary controls to prevent incorrect billing to Medicare Part B., On the basis of our sample results, we estimated that Medicare made a total of $19.9 million in Part B overpayments to ambulance suppliers for transportation services for beneficiaries in Part A SNF stays.  In addition, we estimated that beneficiaries incurred an estimated $5.2 million in coinsurance and deductible liabilities related to these incorrect payments. , We recommended that CMS redesign the CWF edits to prevent Part B overpayments to ambulance suppliers for transportation services provided to beneficiaries in Part A SNF stays.  We also recommended that CMS direct the Medicare contractors to recover the incorrectly billed claims related to 78 sampled beneficiary days; notify the ambulance suppliers responsible for potential overpayments estimated at $19.9 million; and educate ambulance suppliers on Medicare Part B billing requirements, among other recommendations. , CMS concurred with our recommendations and described the actions that it has taken or planned to take to address them."
